;username;text;date
10;memes_46464;.#repost #covid_19 #covid #viraltiktok #covidindonesia #covid19indonesia #bestmemes #dankmemes #memesdialy #memegod #spicymemes #dailymeme #cringe #receh #garing #memesindonesia #lelucon #ngakak #lucu #viralindonesia #kocak #dagelanindonesia #TikTok #BikinRame13m;2021-07-11T11:52:23.000Z
11;tanamtumbuh.media;INFO TABUNG OKSIGEN!Dari twitter kang Soleh. Tujuan kita sama kok. Mau pandemi ini cepet kelar dan bisa hidup normal lagi. Jadi, ayo saling bantu kasih informasi buat yang lagi butuhin.Tulis dikolom komentar atau DM ke kami untuk informasi seputar jasa ambulance yang kalian punya, stay safe and stay at home😊✨--#TanamtumbuhMedia18m;2021-07-11T11:46:34.000Z
12;shazabyadelina;Lets pray for Jakarta…pray for 🇮🇩 Indonesia🤲#covid_19#hopeforbetterdays#jakarta#covidindonesia21m;2021-07-11T11:44:11.000Z
13;imperomedika;Halo Sahabat Medika!Dilansir dari WHO, varian Covid-19 terbaru “Delta” adalah varian yang sejauh ini paling berbahaya karena memiliki tingkat penularan 2x lebih cepat dibanding varian-varian sebelumnya.Gejala yang ditimbulkan pun rumornya berbeda dari varian-varian sebelumnya.Seperti apa gejala yang ditimbulkan oleh varian Delta? Simak terus postingan di atas!Jangan lupa follow dan aktifkan notifikasi akun Impero Medika untuk mendapatkan informasi seputar alat kesehatan dan berita kesehatan lainnya.#ImperoMedika#HealthyLife#HappyLife#staysafe#stayhealthy#healthylifestyle#doctor#medical#hospital#beritacovid#covidnews#covidindonesia#covid19indonesia#coivd_19#lawancovid19#covid19#covid19news#infocovid#infocorona#updatecovid19#updatecovid#infocovid19#updatecorona#updatecoronaindonesia#beritacovid19#variandelta32m;2021-07-11T11:33:03.000Z
14;ngalam.ofc;Hallo sobat ngalam tau ga kalo saat ini Indonesia menepati urutan ke-9 sebagai negara berpolusi di dunia pada tahun 2020 , menurut sumber data iqair.comMenurut mimin si ini perlu di perhatikan lagi dengan serius oleh bapak/ibu pemerintah yang bertanggung jawab.Karna jika di biarkan begitu saja entah berapa tahun lagi akan menjadi sangat buruk..Support kami terus agar banyak informasi yang akan kami berikanFollow :@ngalam.ofc#ngalam #pemerintah #pemersatubangsa #pemerintahindonesia #yukjagalam #raffiahmad #nagitaslavina #greenpeace #vickyprasetyo #kalinaoktarani #lucintaluna #naturephotography #naturelovers #NatureLover #natureza #Naturegram #natureporn #natureaddict #naturephoto #natureshots #naturelove #jerixsid #habibriziq #covidindonesia #ppkm #lingkunganhidup #lingkungansehat #ambulanceindonesia #iduladha42m;2021-07-11T11:23:08.000Z
15;perbankansyariah.id;"⁣""Dengan nama Allah yang bila disebut, segala sesuatu di bumi dan langit tidak akan berbahaya, Dia-lah Yang Maha Mendengar lagi Maha Mengetahui"".⠀⠀Sobat banksyar, yuk kita sama-sama panjatkan doa khususnya untuk Indonesia yang sedang terdampak virus covid-19 ini, semoga kita selalu diberikan kesehatan dan dilindungi oleh Allah SWT, Aamiin...⠀⠀#doa #hadist #alquran #dzikirpagipetang #dzikirpetang #covidindonesia45m";2021-07-11T11:20:21.000Z
16;hahaberkalikali;Jawabannya asik.➖➖➖➖➖➖➖➖➖➖➖[Jangan lupa]👤.Follow♥️.Like↪ .Share💬.comment➖➖➖➖➖➖➖➖➖➖➖➖Hastag:#indovidgram #dagelantivi #guyonan #ingakakjamannowm #kpopers #kpop #anakjamannow #ivgstory #dagelan #music #guyonankekinian #ngakakid #ngakakkocakvideo #saturdaynight #tiktok #indolawak #bahagiangakak #diaryojol #dramaojol #lucujadijadian #drakor #makeup #vivicu #ngakakngelawak #jokowi #indonesia #covidindonesia #ppkmdarurat #petugas #tugasnegara56m;2021-07-11T11:09:12.000Z
17;hahaberkalikali;Mulai nih dia ada pasangannya.@boojangsecond@joeyudhayzx➖➖➖➖➖➖➖➖➖➖➖[Jangan lupa]👤.Follow♥️.Like↪ .Share💬.comment➖➖➖➖➖➖➖➖➖➖➖➖Hastag:#indovidgram #dagelantivi #guyonan #ingakakjamannowm #kpopers #kpop #anakjamannow #ivgstory #dagelan #music #guyonankekinian #ngakakid #ngakakkocakvideo #saturdaynight #tiktok #indolawak #bahagiangakak #diaryojol #dramaojol #lucujadijadian #drakor #makeup #vivicu #ngakakngelawak #jokowi #indonesia #covidindonesia #ppkmdarurat #petugas #tugasnegara58m;2021-07-11T11:07:26.000Z
18;hahaberkalikali;Baru nih metode nya hahahha.➖➖➖➖➖➖➖➖➖➖➖[Jangan lupa]👤.Follow♥️.Like↪ .Share💬.comment➖➖➖➖➖➖➖➖➖➖➖➖Hastag:#indovidgram #dagelantivi #guyonan #ingakakjamannowm #kpopers #kpop #anakjamannow #ivgstory #dagelan #music #guyonankekinian #ngakakid #ngakakkocakvideo #saturdaynight #tiktok #indolawak #bahagiangakak #diaryojol #dramaojol #lucujadijadian #drakor #makeup #vivicu #ngakakngelawak #jokowi #indonesia #covidindonesia #ppkmdarurat #petugas #tugasnegara59m;2021-07-11T11:05:54.000Z
19;aswin_ws;𝕀 𝕤𝕥𝕒𝕪 𝕒𝕥 𝕨𝕠𝕣𝕜 𝕗𝕠𝕣 𝕪𝕠𝕦. 𝕐𝕠𝕦 𝕤𝕥𝕒𝕪 𝕒𝕥 𝕙𝕠𝕞𝕖 𝕗𝕠𝕣 𝕦𝕤 𝕒𝕝𝕝. ℙ𝕝𝕖𝕒𝕤𝕖!#istayatworkforyouyoustayathomeforus #covid_19 #covidindonesia #covid19indonesia #hospital #rumahsakit #rspondokindah #perawat #nurse #nursing #pandemic #nurses #nursesofinstagram #nursesrock #stayathome #workingtogether #prokes #prokesuntukkitasemua #6m #salingjaga #pedulilindungi #indonesia1h;2021-07-11T11:04:20.000Z
20;wheynak;Hotman Paris Approved 💯•#nutrisisehat #cegahcovid19 #covidindonesia #coronaindonesia #coronaindonesiaclub #hotmanparis #hotmanparisofficial #hotmanparishutapea1h;2021-07-11T10:52:45.000Z
21;jabarsehat.id;Jangan panik! Ini ada tips untuk memulihkan penciuman!Semoga Bermanfaat ✨#salamsehatAyo Kita Bersama-sama Lawan COVID-19!#jabarsehat#informasicovid#covid_19#lawancovid19#viruscorona#covidindonesia#infokesehatan#pakaimasker#kesehatan#motivasi#infojawabarat#hentikanpenyebaran#likeforlikes1h;2021-07-11T10:51:57.000Z
22;momovele.id;Badan Pemerika Keuangan (BPK) mencatat total anggaran penanganan Covid-19 mencapai Rp 1.035,2 triliun. Auditor Utama Keuangan Negara III BPK Bambang Pamungkas mengatakan, anggaran penanganan Covid-19 itu berasal dari anggaran pendapatan dan belanja negara (APBN) sebesar Rp 937,42 triliun.“Kemudian dari anggaran pendapatan dan belanja daerah (APBD) sebesar  Rp 86,36 triliun dan dari sektor moneter sebesar Rp 6,50 triliun,” katanya dalam konferensi pers via daring, Selasa (29/12).Selain itu, anggaran tersebut juga berasal dari badan usaha milik negara (BUMN) dengan total anggaran sebesar Rp 4,02 triliun. Adapun dari badan usaha milik daerah (BUMD) sekitar Rp 320 miliar dan berasal dari dana hibah dan masyarakat sebesar Rp 625 miliar.@momovele.id#momovele #anggaran #covid19indonesia #covidindonesia #covid_19 #covid19news #ppkm #ppkmdarurat #ppkmjawabali #ppkmdaruratjawabali1h;2021-07-11T10:48:03.000Z
23;jabarsehat.id;Provinsi DKI Jakarta mencatat rekor baru angka kesembuhan COVID-19 pada minggu (11/7/2021).sumber: @okezonecom#salamsehatAyo Kita Bersama-sama Lawan COVID-19!#jabarsehat#informasicovid#covid_19#lawancovid19#viruscorona#covidindonesia#infokesehatan#pakaimasker#kesehatan#motivasi#infojawabarat#hentikanpenyebaran#likeforlikes1h;2021-07-11T10:47:39.000Z
24;wanmichaell;Sebuah pesan singkat dari olahraga......#covid_19 #covid #staystrong #pandemic #covidindonesia #covidindo1h;2021-07-11T10:44:20.000Z
25;falsstationciledug;Terimakasih sudah mempercayakan kami dalam mengisi waktu luang anda 😊🔱 Mengapa harus di FALS STATION?〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️✔ Kami sudah 9 tahun berdiri sejak 2012✔ Memiliki banyak cabang✔ Memiliki tenaga profesional✔ Pelayanan ramah, flexible dan tidak ribet✔ Tersedia dalam jumlah banyak✔ Game terupdate✔ Stick original mesin (bukan ori pabrik)🔱 Bagaimana cara sewa di FALS STATION?〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️🔶️ Hubungi admin kami atau datang ke rental🔶️ Siapkan 2 Buah E-KTP🔶️ Penyewa bersedia difoto🔱 FALS STATION starterpack :〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️✴ 1 Unit PS✴ 3 Buah stick✴ 2 Kabel HDMI✴ 2 Kabel charger✴ 1 Kabel power#sewaps3ciledug #sewaplaystation3 #sewaps4 #sewapsharian #falsstationciledug #falsstation #mainps #lebaran #lebaran2021 #dilarangmudik #3periode #100t #vaksìnasicovid19 #vaksin #korona #covidindonesia #kabarciledug #infolaranganciledug #ceger #bintaro #blokwareng #ciledughits #banjir #jakartabanjir #tangerangkota #vaksìncovid19 #vaksinasi #bemui #koronaindonesia1h;2021-07-11T10:28:32.000Z
26;falsstationciledug;Terimakasih sudah mempercayakan kami dalam mengisi waktu luang anda 😊🔱 Mengapa harus di FALS STATION?〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️✔ Kami sudah 9 tahun berdiri sejak 2012✔ Memiliki banyak cabang✔ Memiliki tenaga profesional✔ Pelayanan ramah, flexible dan tidak ribet✔ Tersedia dalam jumlah banyak✔ Game terupdate✔ Stick original mesin (bukan ori pabrik)🔱 Bagaimana cara sewa di FALS STATION?〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️🔶️ Hubungi admin kami atau datang ke rental🔶️ Siapkan 2 Buah E-KTP🔶️ Penyewa bersedia difoto🔱 FALS STATION starterpack :〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️✴ 1 Unit PS✴ 3 Buah stick✴ 2 Kabel HDMI✴ 2 Kabel charger✴ 1 Kabel power#sewaps3ciledug #sewaplaystation3 #sewaps4 #sewapsharian #falsstationciledug #falsstation #mainps #lebaran #lebaran2021 #dilarangmudik #3periode #100t #vaksìnasicovid19 #vaksin #korona #covidindonesia #kabarciledug #infolaranganciledug #ceger #bintaro #blokwareng #ciledughits #banjir #jakartabanjir #tangerangkota #vaksìncovid19 #vaksinasi #bemui #koronaindonesia1h;2021-07-11T10:27:55.000Z
27;zilingotradeid;Produk perlindungan kesehatan paling mantap dengan harga mulai 5 RIBU⁣Yuk perkuat protokol kesehatanmu dan lindungi diri setiap saat dengan stok beragam produk kesehatan mulai dari suplemen, vitamin, hingga disinfektan dan produk lainnya. ⁣⁣Cek koleksinya sekarang dengan klik link di bio kami atau kunjungi zilingotrade.id⁣⁣#ZilingoTrade #ZilingoTradeID #SemuaPastiBisa⁣#maskerkn95original #grosiran #grosironline #apdmedis #handsanitizergrosir #protokolkesehatan #covidindonesia #covid19 #bersamalawancovid19 #lawancovid19 #maskerkain #suplemenkesehatan1h;2021-07-11T10:09:16.000Z
28;blesstradingcommunity;Save ini sebagai reminder supaya kamu jangan cari kebahagian di tempat lain selain daripada Tuhan🤗 Tag temenmu juga supaya mereka tahu 😉🙌🏻👉 Follow @blesstradingcommunity buat dapetin lebih banyak renungan seperti ini dan edukasi trading lainnya 😊Happy Sunday, We are Blessed to be a Blessing ✨🙏#BlessTradingCommunity #WeAreBlessedToBeABlessing #BTCSundayDevotional #RENUNGANKRISTEN #renunganharian #renunganhariankristen #renunganpagi #renunganrohanikristen #renunganAlkitab #saatteduh #kristenindonesia #alkitabberkata #ayatAlkitab #quoterohani #warungsatekamu #rohanikristen #lawancovid #curhatanhati #injili #covidindonesia #keselamatanku #tuhanyesusmemberkati #saatteduh #quoterohani #motivasihidupku #kristenprotestan2h;2021-07-11T09:54:27.000Z
29;wahyuningsih.srie;Reposted from @dr.muslimkasim Hati2 dengan info2 obat yg diperoleh dari whatsapp grup atau medsos lainnya..Terlalu bahaya risiko yg bisa didapatkan dengan membeli sendiri obat2an utk orang dengan covid19.Meski penelitian menunjukkan tidak ada manfaat utk mengobati corona tapi obat2an seperti Zinc, Levaquin, Azithromycin, Favipiravir, Oseltamivir, IVERMECTIN, Doxycycline, Multivitamin, Hydroxychloroquine, dll sangat marak belakangan ini digunakan masyarakat kita utk diminum buat orang2 yg terinfeksi covid19Padahal tindakan meminum obat sembarangan ini tanpa resep dokter, tanpa memperdulikan soal indikasi, dosis, efek samping, dll bisa berakibat fatal bagi tubuh.Tolong ingatkan soal bahaya ini pada anggota keluarga dan sahabat2 lainnya ya slur...Thanks banget🙏🏼______ ____ ___ __ __ _ _ _ _Untuk update tema2 kesehatan (terutama info pandemi + kesehatan THT -KL), bisa langsung pantau akun IG ini :@dr.muslimkasim@dr.muslimkasim#obatcorona #obatcovid19#updatecovid19 #pandemicovid19#indonesialawancovid19 #protokol #isolasimandiri #infocovid19 #protokolkesehatan #obatcovid #viruscoronadiindonesia #wabahcorona #infocorona #sukseskanvaksinasi#indonesialawancorona #updateinfo #swabtest #sarandokter #swabantigen #stopcovid19 #covidindonesia #beritacorona #swabtest #edukasiinstagram #obatcovid19 #covid19indonesia2h;2021-07-11T09:51:22.000Z
30;cloverhoney.bysanti;Selamat pagiii 😁Ini loh HDI Origins™ Royale Jelly 🍯✅ Apa sih Royale Jelly itu ?✅ Apa saja yang terkandung dalam Royale Jelly ?✅ Apa saja manfaatnya ?✨ Royale Jelly adalah hasil sekresi lebah pekerja, biasa juga disebut susu lebah, dan menjadi makanan untuk ratu lebah yang menghasilkan banyak telur lebah setiap harinya. Tidak heran kalau Royale Jelly ini dikaitkan dengan kesuburan dan banyak digunakan sebagai pilihan asupan promil karena manfaatnya.✨ Royale Jelly mengandung protein, asam amino esensial, asam lemak esensial, dan vitamin B kompleks plus enzim dan mineral seperti kalsium, kalium, natrium, zinc, iron, cuprum dan mangan.✨ Royale Jelly ini mampu meningkatkan kekebalan tubuh, meningkatkan kinerja otak, mengontrol kadar gula dan tekanan darah, menurunkan kadar kolesterol, serta kandungan asam lemaknya mampu mengurangi infeksi dan meningkatkan imun tubuh alami dari serangan bakteri dan virus.Royale Jelly ini juga memberikan prokolagen tipe 1 yang bisa mengirangi efek penuaan dini pada kulit karena radiasi UV.Gimana ?? Banyak banget kan keuntungan yang didapat bila konsumsi Royale Jelly ini 😘😘 ..#hdipropoelix #hdibisniskesehatan#hdiroyallejelly#covidhdijambi#hdistore #hdiindonesia#memberhdi #membershiphdi #paketcovid #hdijakarta #hdijakartaselatan#vitamincovid#penyembuhancovid19#propoelixpromo #propoelixhdi #royaljellyhdi #royaljellyhdi #pollenergy #produkkesehatan #suplemenanak #suplemen #MIMS #promohdi #produkkesehatan #korona #corona #covid19 #zonamerah #covidindonesia #cloverhoneyjambi #madujambi #propelix#vitamincovid2h;2021-07-11T09:49:20.000Z
31;klinikdokterdewy;Guys kami sudah meminta izin untuk merepost postingan ini. Kami merasa ini adalah informasi penting yang kalian harus tahu.. disini, @doktermutan sudah merangkum langkah2 yang harus dilakukan bila kita terkena / terpapar covid19. Please baca and share karena ini bahasanya mudah banget dipahami.Keep calm and be positive guys!.Posted @withregram • @doktermutan Sebarkan kepada orang-orang yang lo hargai.. Please sebarin ya Fren...Mungkin ini bisa membantu mengurangi bingung lo, tetap tenang agar bisa tahu apa yang harus dilakukan setelah itu..#covidindonesia#covidjakarta#covid19#covid19indonesia#vaksinasicovid19#covidjateng#viruscorona#virus#viral#viralindonesia#coronavírus#covidjatim#kawalcovid19id#kawalcovid19#pamdemictalks#klinikdokterdewy2h;2021-07-11T09:47:16.000Z
32;dr.muslimkasim;Hati2 dengan info2 obat yg diperoleh dari whatsapp grup atau medsos lainnya..Terlalu bahaya risiko yg bisa didapatkan dengan membeli sendiri obat2an utk orang dengan covid19.Meski penelitian menunjukkan tidak ada manfaat utk mengobati corona tapi obat2an seperti Zinc, Levaquin, Azithromycin, Favipiravir, Oseltamivir, IVERMECTIN, Doxycycline, Multivitamin, Hydroxychloroquine, dll sangat marak belakangan ini digunakan masyarakat kita utk diminum buat orang2 yg terinfeksi covid19Padahal tindakan meminum obat sembarangan ini tanpa resep dokter, tanpa memperdulikan soal indikasi, dosis, efek samping, dll bisa berakibat fatal bagi tubuh.Tolong ingatkan soal bahaya ini pada anggota keluarga dan sahabat2 lainnya ya slur...Thanks banget🙏🏼______ ____ ___ __ __ _ _ _ _Untuk update tema2 kesehatan (terutama info pandemi + kesehatan THT -KL), bisa langsung pantau akun IG ini :@dr.muslimkasim@dr.muslimkasim#obatcorona #obatcovid19#updatecovid19 #pandemicovid19#indonesialawancovid19 #protokol #isolasimandiri #infocovid19 #protokolkesehatan #obatcovid #viruscoronadiindonesia #wabahcorona #infocorona #sukseskanvaksinasi#indonesialawancorona #updateinfo #swabtest #sarandokter #swabantigen #stopcovid19 #covidindonesia #beritacorona #swabtest #edukasiinstagram #obatcovid19 #covid19indonesia2h;2021-07-11T09:45:51.000Z
33;narablog.data;Covid di Indonesia 😣©️CanvaDetik.com#covıd #covidvacccine #usacovid19 #covidindonesia #vaccinationdone✔️ #vaksìncovid19 #covidindonesia #kebijakan #ppkmdarurat #ppkmmikrodarurat2h;2021-07-11T09:38:23.000Z
34;pejuang_junior;TERWAKILKAN#indonesian #indonesiaku #indonesia #covidindonesia #pamit #hidupsulit #ppkmmikro #ppkmjawabali #ppkmdarurat #jakarta #jakartainfo2h;2021-07-11T09:27:38.000Z
35;pejuang_junior;TERWAKILKAN#ppkmmikro #ppkmjawabali #ppkmdarurat #ppkm #hijrah #covidindonesia #indonnesia #jakartainfo #jakarta #jakartapusat #juli #ahad2h;2021-07-11T09:24:20.000Z
